Main Title,Full Review
Only star network channels are available,I used this app when I have not jio tv to see live matches and shows but I do not like this app because it supports only star network channels and it has a paid services. It comes only few of star channels like starplus star sports or movies etc. The design of this app is good it run smoothly on any device but it require high spped internet to watch tv without interuptions but if you have low speed internet then it buffers after every few minutes and it has also a problem when I got a call during playing a video on hotstar it took me to the home screen and I had to start again to play my video after taking a call an this can it was very frusting for me the performance of this app is not good for me.   
Amazing entertainment app,Hotstar app is one of my favourite app when I want to see my favourite tv serials.Actually here I can watch all the daily soaps which are not available on any other app.I love to see serials like kasauti zindagi ki and kahani ghar ghar ki and seasons of master chef and gumrah and all are available on hotstar.I can watch them any time.Moreover data consumption is not too much but is average and clarity is also good. There is no buffering also.So I love to watch my favourite serials here.It is really an amazing app and full on tv ka mazaa.   
Best to watch online,I am using hotstar from last 14 months. And I am sharing my personal experience with you. This is very good app to watch cricket or some exclusive movies for those persons ( students ) who do not have TV .     This has a facility to watch online movies or anything according to your network connectivity and data consumption. As you can watch a movie of 2 hrs in 500mb.     You can increase or decrease the rate of data consumption according to your need and choice.     Very good for students and all.     Love this app   
Hotstar best app,Hlo frends today  I have been able to get one of the applications that I have got from the name of the Hotstar that I am sure it is an app that will be able to live matches vedios movies etc so that I can see that there is no need to pay any rupees. I have a free web application that can be downloaded from the app for a maximum of 1 month using either 1 or 4 months of the app or I have also added an app that is also available to meFriends if you do not like anything in this app then you can tell it in the comment box. Friends all of you use this app. You people like this app     App name HOTSTAR   
Poor video quality with high data charges,Hii friends today I am shere with you my personal experience about hotstar app after using this.     This app is good mainly for watching online cricket and then any difference shows are available and different features.are also.avilable but on this app data charges is very high but video quality is not good  watching on 144p vedeo quality is poor then data cosa low then 360p.data cost high but video quality is also poor  in this app very good features but take very high cost then also a one big problem of buffering problems  network is good but this problem is also come time of watching this is good but very costly with poor video quality.     Thank you   
Best entertainment platform,Hii guys That is my Personal experience/genuine review about hotstar application. I'm using hotstar last 2 years.When I'm free I'm using Hotstar for entertainment. so guys I like to say about hotstar App.     I have get my all favourite movies on Hotstar. There are many categories movies available like Hindi Movie kanada movie Bengali movie Malayalam movies marathi movies Tamil movies and Telugu movies. I'll see many popular and trending movie such as bajrangi bhaijan raees Houseful 3 pink jolly LLB 2.     I'm a sports fan I have all the sports action from starsports.com that available in hotstar. I'll see all live match on hotstar. Cricket live match streaming kabadi live match steaming badminton live streaming hockey live streaming etc.     Overall Hotstar is the best entertainment platform.     Install the app and see your favourite movies and live match.   
I love this app 'Hotstar',I am very happy to share with yours about my favourite app Hotstar. I love this app verymuch brcause it helps to watch our favourite videos when we like. Hotstar only show very good clarity videos. This app is designed very attractively. It provide diffrent videos like sports news filim etc. Every videosva are listed under their catagories. So it help us to select fastly. App layout is very attractive. Everyday I watch highlights of football and crcricket through Hotstar. So it is very usefulness to use.     Special thanks to app developers.     Contct: pcpismail9020@gmail.com   
Hotstar,Hello I am sharing my personal experience with Hotstar app. It is app where we were watching movies serials and matches any time.     Before 6 months my TV was not working because of that I was missing some serials. So I want to watched it. for that I was installed Tha Hotstar app . When the app was open it takes so many times. After opening the app I was watching the 30 minutes episodes of serial but it was so many buffering problem. It makes 30 minutes serials about 1 hours to complete For that I was very frustrated with it. The performance of app was very slow and poor.     The layout and design was good. All Function was understanding.we can easily be find out any requirement. But this app wasting     so much data and time so it was very useless.wastage of time and data.     All over the app needs some work and I will give it 1 out of 5   
Honest app with good features,One of the best app ever seen in comparing with other apps which telecast everything on all categories as real .Live matches also they telecast but only a 5 minutes back.All of the repeat shows are there which we can watch anytime .Theme is too good and its dekstop view is amazing as needed to attract other users to download it.Hostar is giving a real service which we needed.Concept is amazing as to present all shows  matches and other programmes in such a way that attrats people to watch all by hostar app.Too good.Layout & designs also very good as designed by the Admin it is too good andeasy to use and low data charges .Lowfeatures & functions but all are amazing in running manner and deserve a 4.9/5 as it needs 4G speed to watch perfectly.Very useful app for watching all the past shows and live matches anywhere anytime .   
Friend,This is a good app that let us to see all television shows at any time at any place even-though we can see cricket and football also which makes this app more interesting.The concept of the app is very good never lets anyone to miss their favourite televisions shows.The is very good in terms of UI and UX it has a beautiful navigation bar and a beautiful theme.It has good features it shows every show according to its category.This app is like my friend   
Hotstar is silent,For last few days Hotstar is maintaining silence.     It is observed that we were receiving messege that Hotstar have some problem they are working on it and infact it was at all working. After a day or two Hotstar come back with the programms by keeping their mouth shut.     When they will loud?   
Good entertaining aap..,Hotstar is one of the best entertaining aap if you have 4g connection with you then you have an option to have a good time pass. It has an option to . Show serial movie and other entertainment shows as well u also have shows which u can see later. Regional languages movies and serial and shows are also available there.   
Consuming space and data,I am using these app it is similar to you tube but main differences in you tube we can upload the videos but in hotstar we can't upload here.the main concept of these app is to see the videos and live sports matches and movies.for some movies charges apply in these app. the layout and design is good.the main draw back of these is it consumes more data and space in mobile.there is no special features in these app except watching videos. No useful of these app when compared with youtube.   
Data consumption is very high,Hello friend I would like to share my personal experience about Hotstar .     I am using hotstar from last 4 year ago but more time I relies that when you WATCHING VIDEO ON HOTSTAR THEN YOU DATA CONSUMPTION IS MORE HIGH .     The concept design form this team is not effective because there are more live channel that showing live matches and other program .     When you internet speed is low then hotstar video HD quality goes down & Its BUFFER TIME IS MORE .     Even hotstar showing LIMITED channels.     Layout and design of hotstar is simple and usefull.     they dont have good features / function as they consuming data speed.     This channel is not more useful because you may got same data on other TV channel .   
It needs fast internet connection,The main use of the hotstar is that we can watch videos programs streaming on television. live action is also available on hotstar. the first and foremost thing I don't like about this is it is very slow. though you have the faster internet connection we experience buffering which is intolerable. even though when you sign up for the premium account you face a lot of issues with sign in. when compared to other video streaming applications it takes lot of data almost a GB per an hour. its functions and features are not so smooth and always there will be an issue when you update it on the mobile.when you use it over mobile internet connection you can stream buffering rather than a video. it is better to go for some other best application for streaming videos.use it if you don't have any other choice.   
Exceedingly Excellent!,The perfect destination for the love of true cricket. My only destination to see live matches quality is truly excellent. I also liked that fact that I can watch GOT at Hotstar. The premium subscription cost only 199rs a month which is by far the lowest I have ever seen in digital media subscription till now. The app interface is smooth and I even tried playing Hotstar on my tv android tv Ui has very good design and it's quite useful. One con is that it has a low amount of content as compared to other providers.   
Consumes so much data,Hello im gong to share my experience with Hotstar app.     im a working women and due to that I miss most of my serial so I watch them online and one of the many app I use to watch is hotstar .     at first when hotstar was launched and tv ads was showing that its totally free which they obviously lied as many popular serials comes under premium category and we have to pay them to watch . so almost all the main serials are paid so the app is totally waste of time.     and the one which are free consumes so much data as once I watched a 30 minute episode of a tv series which consumed almost 800mb and which I switch the video quality to low. I was so shocked it almost consumed my 1gb jio data.     the apl is pretty much useless there are mamy other apps that provide serials in free. go for them.     ill give 1 out of 5     .   
Live and entertaining,Hello friends     Hotstar is good option when your mom hooked up with Television. You can saw here live cricket ( all sports) and also you can saw movies serials award shows web series and many more entertaining stuff.     Hotstar takes less time to load and no buffering when you have a good internet connection.     Everyday I saw sports highlight movies here because I live in hostel and there is no tv.     Hotstar is a good concept. Hotstar have awesome features like you can download your favourite shows live streaming of sports. You can saw shows in high definition. Sound quality and design is also excellent.     It is very useful application and easy to operate.     Thank you.   
Hotstar cool & Awesome app for everyone.,Hi guys I am going to present you cool Hotstar App This is one of the most running App which We are liked most of them and it has lots of channel to entertainment.You can control the quality of channel low medium hd this is the advantage of Hotstar app. Suppose if your data is low then you can run it accordingly.My friends like cricket matches so whenever matches start We watch cricket together.If We go for picnic and vacation with my friends and family then this app is very useful for me.This is userfriendly app I recommend this app for everyone who housewife worker etc.   
Keep it on hotstar,Why I said keep it on because the hotstar is working awesome work it takes more time to load even in 2G network when my jio data is over then also hotstar works perfectly and very easy to use so many channels are there and best way to watch cricket awesome cricket cricket watching experience was doing a great job user interface is so much easy and very good to use so many channels are available in that and no time to making an ID on hotstar you can usually login via Gmail or even Facebook account so if you want to watch online thing then go for hotstar otherwise jio TV is also a good one   
About hotstar app,I am using this app from 45days .My experience of this app was very positive  this is one of the best app till date according to me because  you can not only watch movies  music  web series but even old programs of tv.U can also watch tv in very slow net connection whic is USP of this app.So plz download and enjoy   
Loading app..,Hello friends. Today I am review about the hotstar app for entertainment. The app is proving the tv shows and the movie. The tv shows episode is proving the early before telecasting on tv which is good. But the some movies and episode which is provides as a paid.Some shows and movies are paid which is not good. And the big problem is that the loading of the app. The hotstar app is time consuming according to the loading and also the high data consuming.The app had lots of buffering. Some time you have to closed the app and again start it for watching the shows.So according to this it is very dissapointed.   
Hotstar - On the go.,Hotstar is one of the best app of live streaming Live matches TV shows Movies etc.     This app is developed by Nova Digital. Hotstar streaming is very good and without buffering it streams content. It is very user friendly app which gives data saving option. In hotstar there are different quality stream like auto mode 180p 360p 720p 1080p HD.     You can watch lastest movies TV shows etc on it. Hotstar also give premium membership option in 199 ₹ per month. In premium membership we can watch lastest episode live matches without delay movies etc. The interface and design of this app is very nice. It also gives option to download and watch it later. The features are nice and concept of app is also nice.     Thank You.   
More Advertisement ! Needs more data !!!!!!!,Hi friends I am sharing experiences about the Hotstar.     Hotstar is a Mobile application that used for the see the online movie  shows etc. Its show live also and inline also.but in front of that facility's more problems are created .     Online advertisement : If you start on this any show . Means I am watching any serial more advertising come its ok when its between TV show. But if the online advertising come then its more problems are created and then its make so boring.     Data consumption : they needes more data then the other . If we are watch any serial only one episode also they lost 500 mb data . If you're using 1 GB data then half is lost only one episode also. If you have many less data then its can't open also . They show massage like your internet connection is not available. Or check your internet connection . Picture and sound quality : the pictures some time not clear. One time I showing episode of tarak mehata ka oulta chashma the sound one come then its pronounced . Means its seen like a double movie. And then like that show not interested to show.     It's use for showing tv. But it's not achieve quality of that then what's use of that  they need also more data then you tube is better option in front of this. No any problems of sound  data or anything.   
Highly data consumption,Hello friends I am very glad to share my personal experiences about HOTSTAR.     This is amazing. Hotstar is really hot like its name.     I used this application last 5 years when I bought a new android phone. I am very contented to know I used Hotstar premium. I am totally satisfied for this application because this application provides me full movies full Hollywood tv serial episodes and cricket.     This is really good application.     But I have only one problem when I using application i.e. When I saw any video on Hotstar I realized it takes more data. That's really bad for me.     That's why I am disliking this application.     Thanks   
HOTSTAR ISSUES,THE CONCEPT OF THIS APP HAS ALWAYS ATTRACTED ME FROM THE START UP OF THIS APP TO GATHER ALL THE TV SHOWS AND PROVIDE US WITH MOVIES SPORTS AND OTHER ENTERTAINMENT WITH JUST AND INTERNET AN APP     THE APP DESIGN IS ALSO GOOD CLASSIFYING TO SELECT WHAT TO WATCH AND FILTER YOUR INTEREST INSPITE OF ALL THESE I FEEL FRAGILE TO USE HOTSTAR AS IT SHOWS LOTS OF ADVERTISEMENT AND WE CANNOT SKIP THEM EVEN AFTER SOMETIME WE HAVE TO WATCH THEM FULL     THE APP USEFULNESS CANNOT BE NEGLECTED BUT THE DRAWBACK HAS OVERCOMED THE USEFULNESS AND NOW THEY ONLY SHOW ONLINE MATCHES TO THEIR PAID CUSTOMED I AM SEEING MATCHES 5 MINUTE DELAYED ANOTHER PROBLEM IS IF I ENTER INTO A PLAYLIST EVERY TIME I HAVE TO START FROM THE BEGINNING TO ENTER THERE THESE ARE THE MAJOR ISSUES WHICH SHOLUD BE FIXED FAST TO MAKE THE APP MORE EFFECTIVE   
Not hot... It is cold on live match streaming,Hello friends.     I want to talk about my experience on hotstar.     This is not good for live streaming match. It has slow stream at least 3 minutes compared then television. Hotstar is good for movie serial etc but not good for live match. My Hotstar experience is very bad because I want to see live match on perfect update. It is not good for new arrived movie and song. You can see live match on television at home with good experience. Thanks.   
Delayed Telecast,I m using airtel sim card and due to the unavailability of some channels in airtel mobile tv I prefer to keep hotstar as an alternative in my smartphone  hotstar is one well known and famous app entertaining its members by providing much of infotainment . I always visit hotstar to watch live action of matches  inspite of using it I donot like it at all  they show us the delayed telecast of matches by 5 minutes and in some casses it gets delayed by more than 10 minutes .     They will show you the live telecast only on becoming a pro member other you will have to watch a delayed telecast which sometimes becomes frustrating if you are a cricket lover as I am     I would like to request to atleast make the telecast of matches live for its users   
Bad app,I used many apps like entertaining apps today I am going to rewiew of hotstar entertaining app .hot star is not a good app when want to listen something frist click to search icon button and search some videos it shows something else that is not related to that video which I want to listen and it takes a long time to open frist page and often the videos quality is not so good every video are a breaking form and confuses the voice quality is also bad and reach to broken form all over the app is very bad I share my personal experience you can also try this app   
Live matches made easy to watch,I'd installed Hotstar initially to watch AiB Roast and then I continued with it to see live cricket matches of India. One cool thing about Hotstar App is they show live match on App but 5min of delay on thier website so ai prefer their App more as of now I'm using the App for free but I think soon they'll start charging which is not a good thing atleast for me.     They've various original content apart from the Desi Indian drama which are bad.     I've enjoyed everything in Hotstar be it their UI or time to load everything is good as far. Hope to keep watching Hotstar for free   
Good Online Watching.,Hi all now I will share my experience with Hotstar Android application.     I had been using whenever I feel bored.     Here we get online TV with all channels for unlimited.     But only 5 minutes differ to online.     If you subscribe package that will play online.     Here we get good quality videos and it depends on speed of the Internet and how much day you have.     But for watching television instantly hotstar will be the best app for all.   
Just good for movies not for live matches.,Hotstar is a live streaming app through which users can watch live streaming of matches and can also watch online movies on it.but what I personally observed is that it is not good for live matches but can be used for online movies.firstly the app doesn't stream live match.it is about 3 minutes back to the original live stream.the video quality is not also good.and if we talk about movies.All movies are not available on the app.few movies are available to watch.some new movies are also uploaded sometimes.   
Hotstar-other side,The concept behind the app is awesome the best concept is live streaming and especially cricket matches or sports. In India cricket is religion. Before Hotstar many people were unable to watch the match live as they are on travelling or away from home but now we can watch cricket match wherever we are. therefore it is the best concept.then we come to design part yes it looks good well categorised also. Functions are good. And the newly added feature of downloading our favourite shows. But while watching movies there are many ads in between and we can't even skip them so that so frustrating about it otherwise overall I loved it.   
English shows are payable,Hotstar is good app for watching all star series shows. But I am not watcher of serials from Star plus and that. So that part is not for me.     There are also Bollywood movie but the more popular movies are payble.     I used to watch English tv shows but in hotstar all English tv shows are payble not only single show is free to watch. That's why I dislike it.     The live Cricket feature is good that's why I give 2 star.     Also this app shows more advertisement than voot app. I used voot app for watching biggboss but hotstar shows more advertisement.   
Good app to watch online.,Hi friends This is Mohammed Khaled Ahmed from Hyderabad.     Today I am going to review about a famous app hotstar app.     I recently download this hot star from play store on my android phone belive me this is really a game changer in indian market.     This app gives us live streaming to watch our favourite shows movies sports  news and many more.     I used to have lots of fights with my brother over watching cricket matches on television and now this problem is solved by hotstar as I can watch whatever I want and whereever I want too.     It is a very usefull app and very user friendly too so any body can easily learn how to use hotstar app.They keep on adding new stuff every now and then.so we will be updated in our hotstar notification tab.     Therefore I am very happy after downloading hotstar and I give 4 stars and definitely recommend to every one.   
Entertainment app,One of the best entertainment apps. I like to watch cricket match specially and their highlights with hd medium low quality.I dont watch any serial but it provides many serials videos with too much channel. I watch Hindi and English movies with subtitles. Hotstar have not provided too much movies. But all movie is in hd quality. Some video have Premium membership required to watch it. Specially English serial and Hollywood movie are in primium membership. I watched game of thrones with premium membership. It provides good account security for payment too. No login is required to access app for free video. But sometimes require login.Overall design of app is good to watch content on it. It is one of the best app for watch video which we have missed live.   
Some bugs found,Hello friends I am baljeet and today I will give you honest review of Hotstar app. I have downloaded hotstar app long back but it is not working fine.when I am opening a video in this application it is automatically crashing and redirecting to the home page.the mobile view of the site is very bad. Browse chapter option is not there and if a chapter has 23 videos  it displaying only 14 videos.there is no option to find the rest of the videos.it always shows error while downloading videos and it took so much time to download a video even in 4G network.   
Worst streaming app,Today I am giving my review on hotstar     You know guys today when jio enters in our life we started knowing several apps hotstar is one of them this is an app from whom you can see live pictures and sports game but when comes to video quality it does not full fill our expectation because it gives low quality video and at the same time it take so much time to load any program sometimes I really gets irritated with this thats why I uninstall this app from my phone   
Average app,Hello friends I am baljeet and today I will give you honest review of hotstar app. I download Hotstar few days ago in play store the app its have a size of 20.13 Mb.The concept is very simple.In this application you can enjoy live Tv through Internet.Its a live streaming application off TV chanels.This app has very charming interface on its black and green color.I really appreciate its interface and its have very good design at logo as well as inside of the application.The arrangements of the Videos is really fantastic and the page loading and video thumbails are giving very perfectly.Hotstar does not have many features to deal with but its have a very important features and that is offline download.The application Has many options to deal and its have millions of videos and you can chose as per your need.Now the main features which is usefulness.Its very useful application but after few days of use its feel like its a waste of time.Its page loading is very slow and its loading a video approx 2 minutes.The offline download is good but its not applicable in all the videos it save many but not that many.It is a pay and watch application and if you calculate you see its cost more than a cable Network.Its does not have all the chanels.Some chanel is missing from it.Overall in my opinion I really do not found this useful.It is a Big application and sometimes its lags your mobile in continue use.Thanks for reading my review.   
Hotstar is very entertaining app,Hotstar is very entertaining app for Mobils. Its video quality is good. And you can use in slow internet. Here you can see many chanals like star plus star cricket HD and also watch many latest movies .it most significant app easy to handle. You can download now on Google play store for free of cost really it good app.   
Picture quality is bad,I am using this app to see cricket match. There are many issue on connectivity and pictures quality. Live stream is worst. All time the live stream is late. It is not useful on slow internet. It only running on high speed Internet connection. Which is very bad service. All time its video is loading. The design of this app is average not so good. Its main problems are all important videos or movies will be paid. It takes many time to load the app. Its another problem is its advertisement which are very boaring when see the video. It always show error when I download any kind of video or movie. Sometimes when downloading is successful but it takes so much time to download the movie. So finally it is the most third class app in present.   
Beyond my expectations.,Hello everyone in todays time everyone wants to get in touch with their favourite tv serial games and movies.     Almost 70 % people has smartphone and net pack for enjoy on internet. And most of us have installed this app to dont miss our favourite enjoyment items. I am a great lover for watching movie online.     So one day my frend suggest me to download this. In 2 days only I uninstall it because lots of add comes in the mid of my movies and cricket match. And also so much buffering for small lenght video.     And honestly dont get the gud quality of video to watch a even cricket game and my favourite tv show tarak mehta ka ulta chasma. Lots of bugs their in this app not much enjoyment becz in nowadays everyone want hd quality video.     For me its not a gud app to watch online movies and tv serials.   
Hotstar,I love hotstar because when I want to see the cricket matches or any movies and shows then I see it on this .On this we can also change the language while watching live cricket matches on this. Cricket matches can be seen in Hindi English and Tamil. You can see the match in your language.In addition you can also play some live channels on it. We can download movies shows and other programs for watching offline   
Hotstar is the best,Hotstar is the best to watch tv shows online which we miss any programmes on tv. Live tv on mobile laptop or computer we can watch through Hotstar. It is the best for also movies. And it also a top rated androind app. I recommend to install this everybody who miss a tv progrrame. It is a popular in india. I watch on my desktop. This very amazing   
Lots of problems...,Hello friends.     Today I would like to review about Hotstar. Its very popular app for watching live matches TV programs and movies. Its very helpful. At the same time. unfortunately there have lots of problems.     • When we watching the videos some times it stops suddenly and takes lots time to recovery. it couldn't tolerate when we watching live matches.     • Too many ads     • Oftentimes struck even though the net speed is good. Then we need to restart the app     • The most saddest thing is that a fully buffered video gets buffered again when played agains     • It consumes lots of data. So it's my request that you might clear these problems as earlier as possible because it's very disturbing in the show times Thank you.   
Best one,Hotstar is the best website.Because it has a good number of channels in all categories like sports films serials and T.V. Shows we can watch whatever categorie we want I used to watch especially cricket which is my fav game and the updates will be very fast.we can also watch live streaming cricket with HD quality.it is very useful for the one who are busy to watch later and the app is very good and we gt a good support and service .Design and layout are very good that people can easily attract to them.Features are dam good   
So much issue in live Stream.,Hotstar is a online video streaming app. I using this app last 1 year and there are many issue in connectivity and video quality. live stream is not so good  some time live stream is not live the stream is 5 minutes or 7 minutes delay. Hotstar website is very bad looking but app is little good than website.They said its free but many important video or Cinemas are paid. Features are not good because of many of them are paid. Hotstar is not useful for those are not using high-speed internet.   
Like a live star tv,Hello friends.     I am hemlata khandelwal and today I am gonna tell you all about the hotstar app I used the app for last 7 to 8 months at least or last. I loved it so much when I missed my apisodes I saw them here any time when I m free I can saw them on hotstar. All the star chennals and news channels or movies etc. Etc. Here on hotstar. Its good app and I loved it. Friends any time you can see your fav. Appisodes in night in day any time 24×7 any apisode.thank you so much. You can see the images also. Bye bye .   
Hotstar,Hotstar app is very populer and esey. Same gentel man simpul esly use hotstar. Hotstar diffrent progamma .this app all sports and entertenment  movie and also progamma .biskely siral chenel staar jalsa is best .or live sport on.high powe ful picher .biscaley west bengal this app. Hotstar is best app.   
App!ication,Its application takes much time to open .without giving better service sign in made cumpolsory.without sigming not provide search program.after some time it shows message not responding wait or close.it looks very clumsy.iin wifi or 3g data also not provide easily rview program.takes much buffering.main disadvan5age it makes hang mobile at watching .   
Best app for live television,This is best application for live TV or to watch recorded programmes.     I am using this in mostly to watch live cricket matches.This app also has free n chargeable links when you click watch tab.In free link there is delay of 5 minutes only from live matches.This is actually good when you travel outside from home. Due to this app I never recharge sports pack in my set top box.This saves around Rs 120 per month.     This app gives high quality video when you watch it that's why I keep this app in my mobile.     This is good app for family serials as well .If you miss any serial you can watch it later when you have free time.     Keep up the good work hotstar.You rock.     Thank you so much for nice application.   
Only enjoyment aur kuch nahi,Hey guys ! my opinion for hotsar .it is a digital video entertainment app . It is owned by star india .released in February 2015 . Its headquarter in mumbai It is online store for watch movies shows.Tv cricket and also hotstar news .it is big platform .I am using this app from 1 year ago .it is most febulous app for making enjoyment any where anytime .Lets talk about its features .first of you have to download from playstore and get enjoy . Hotstar is available for different languages like hindi .English malyalam . Bengali Telugu marathi and so on. It is available for streaming. Its only operating from online . You can watch live cricket .live shows and so on . Thank you everyone   
Only permitted to cricket matches. dull shows and,Hotstar is the buzzing app on every phone in the starting days. but due to heavy load of customers and buffering its lagging and tge premium cost is increased invariently. But still the best app for watching any sport is only hotstar but the non delay version is only available for premium users. it doesnt contain a lot of movies as its competitors amazon prime netflix are coming up with good shows and movies. subscribing hotstar premium would be a waste of money except for sports. the only watching thing can be game of thrones. so hostar would be better only with the premium version and it had some techical problems most times that error will irritate you like anything. so if wanna go for hotstar prefer premium only   
My honest review-Hotstar,In todays internet world if we missed up any TV show we have a say now. "chodo yaar hostar mei bad mei deklenge ".     Hotstar has really replaced the use of tv at home.To say in my experience it has got many positives and negative aspects too.     It is an out of box site which has gone a super hit in interet now.We can watch any serials live matches movies and a tons of videos(in all languages) in full hd.When Mahabharata was hitting in tv channels in 2014 I really missed it because of xams and because of some lack of intrest but now I have seen whole episodes of it in hotstar.When I placed a bet in dream11 in womens world cup this year i was dying to watch it as also to support womens team and was in much a tension.I kept on changing channels in Tv and realised that no Tv channel bradcasted womens world cup! I then searched in net where to see live then it gave a result that only in'HOTSTAR'.I am huge cricket fan and can now see every cricket match live on my laptop when my mother is busy with serials after 7pm and am not allowed for remote too! Its much user friendly and a big help for everybody who has missed some shows or cannot see live.I would say if you are using hostar purchasing its premium pack would be a worth to buy:-)     Saying its negative aspects it contains ads! I have seen mahabharatha full episode here and was fed of ads(epecially trivago;would show up this ad min 3-4 times)and cannot be skipped too.Its quality depend on your internet speed! Mine giving 2mbps then too video lags and has to change its setting to medium quality cannot be seen in 720 or 1080p.Even if you hold an high speed net i have seen that it buffers a lot.   
Best place for watching show,Hotstar is one of the best place for watching movie serial match and many more. First of all talking about user interface everone can use or handle easily either novice or expert. All contents are in depth. You will be never faced difficulties to find favourite show and movie. Generally I watch south indian movie in hotstar like tamil kannada telugu malayalam. Hotstar best fact is that he provides subtitles which is benefit for me to watch regional movie. It does not buffering while I watching show. I watch also hollywood movie and serial with subtitle. His premium show is also minimal rate anyone can afford it. If you missed any show on star channel you can watch anytime on hotstar. The main aspects of hotstar is to watch live cricket. If you are member of hotstar you will watch match live if yoy do not member of hotstar you will watch five minute delay match but you watch match both condition. You stay anywhere and watch show on hotstar. His video quality and sound quality is superb than that of others either high and low quality.   
Why More Ads And Low Video Quality?,I like theme of hotstar to give entertainment online for free but why just three times? One another app ozee is allowing their guest to use as much they want. Before some day Hostar Was giving live telecast of IPL cricket matches and various Cricket matches but how many ads were they giving. A big amount of data is wasted in loading of advertisement. After the advertisement format also decrease. which decrease our interest in watching.     My main complaint is about advertisements and the time required to load app. It has best design best concept. if you Only thinking about entertainment but not about data and if you speed is better then only you should choose this.   
Somuch bugs..,Hi I have downloaded hotstar app long back but it is not working fine.when I am opening a video in this application it is automatically crashing and redirecting to the home page.the mobile view of the site is very bad. Browse chapter option is not there and if a chapter has 20 videos  it displaying only 12 videos.there is no option to find the rest of the videos.it always shows error while downloading videos and it took so much time to download a video even in 4G network.   
Worst customer service,I love in Luxembourg Europe. My intent was to subscribe to a monthly subscription it some how it turned out to be an yearly one. That s fine as it isn't a lot of money around 700 rs. Within 5mins I realized that it will not work in Europe because everything I tried to open was not opening here. When I messaged cust support they simply say we cannot refund as we made it very clear during reg process that it cannot be cancelled. This is a ridiculous. They are ready to even listen to what I am trying to say. Product may be great but with such customer obsession you will go nowhere.   
Amazing app (anti-bored),Chaliye shuru krte hai! as you know when the hotstar app is built all TV channels starts there advertisement to convincing us to download it.     Basically the app is built in the sense of moderation so that we have made our smartphone as our television with the help of it.     In this app we can can watch movies videos TV serials etc. We have also watch the TV shows that was completed on TV's in the past with high quality and clean sound.     The logo is very attractive Hot+ Star. so more peoples were think to know more about it.     I am using it and its running very smoothly without any problems.   
Aswome application for watching cricket,Hotstar is the very popular websites for watching cricket and as well as tv channels too .in hotstar all tv channels and live cricket also we can watch hd videos on hotstar is the best source to watch online videos on hotstar. hotstar is the best to watch online cricket videos on hotstar .i usually watch online video on hotstar   
Real time live streaming,Star group's hotstar is among top live streaming apps in india. Your favourite tv shows are streamed here. You can go through hotstar. Whenever I am out of my house and if cricket match is going on then I just open hotstar and watch live cricket. So basically I use hotstar only for cricket. Movies  tv serials  south movies  english movies  hollywood hindi dubbed movies everything is here what a user expects.     App layout and design is nice. Colour of app is green that look pretty as mouthshut's.     You can download movies to watch later.     Nice app  nice concept     It is reliable and real time streaming app. It is useful. Enjoy it.   
It's really a app to watch out,Hotstar is a best app where you can watch the TV. Which ever program you like you can watch from this. I using this since 1yr. I am living in hostel where there is a TV but u can't see which ever channel you want but when ever I got the chance I watch all the channel which I have interested in. I seen all the India cricket matches by using this app. This is really well to have an experience with Hotstar for long period of time. I love this app very much. Pls watch this if you are interested. See your favorites channel by using this app. Really enjoy the experience with Hotstar.   
It's work,Hi friends I am use hotstar application. This application to help you online play TV channels. The most best part of this app you can view live cricket match. This app is high resolution pictures quality and you can adjust your pictures quality. The most important thing is you can see online TV any wear.   
Hotstar,I am using this app last 1 year and this is a excellent app for me because Television is not available at my home and I am watching my all favourait shows favourait movies and drammas in hotstar. So it is very use ful to me. When I miss my show in live I have seen my episode in his history. There are many channels where I have seen live cricket match live TV show And live channels. All features of this app I loving it   
It is realy Hot,For study every one go to some far from house . I also from far from my house .In my house everyday me with my mother watched some daily shows in tv . Watched football cricket live . They are just my love . But in my hostel there is no tv so I could not watch shows plays . One day I know about hotstar and install it my missing thing comes into my hands . Now I think it is my tv . After comming jio sim hotstar became much sexier . I can watched any show as prime member . I love it . Even live streaming vedio quality is also good . Quality of vedio is good . It is also data sever . Good wise for hotstar   
Most Useful App For Daily Shop lover's ??,In our daily routine we miss our favorite dailysoap programs on TV. Hot star is very useful App for our generation. Hotstar shows many programs and movies and we can see at any time it this us video Quality like 180p 360p or 720p we can see any one from them. Example 'Ishqbaaz' is my favorite dailysoap program so in my daily time I don't have time to watch on T.V. At the end of the day I watched the show on Hot star App. It's video Quality and sound huge better than T.V.   
Very poor video quality...,I used this app to watch a cricket match bit I got very dissapointed when I saw its video quality it was very poor the video appeard blur and I could not even recognize the players and knowing the score was far away in this review I will share my personal experience about this app which has plenty of videos but in a poor quality.     Concept of this app is good people who have habits of watching television serials or shows this app is a boon to them they can get every shows and serials in this app.     Layout and design of this app is also good as it has an effective search bar which perfectly suggests the video which we want to see and suggestions on the home page is also very good and we can change any options in the settings which makes this app very convenient to use.     Features and functions of this app is good but not upto the mark as it has now become the biggest platform to watch television shows and other videos movies etc it should be much better in adding its features this app functions very well quick to load but sometimes on slow networks this app struggles hard to load.     This app is very usefull to those who want to watch television shows and serials anywhere they are and if they dont mind about the picture quality.     Overall this app is ok except the video quality but for me video quality is the main preference so for me this app does not works good.   
